index,rating,review_text,Location,Room,Cleanliness,Service,Facilities,Food_and_beverage,Price,Safety
5285,8.3,"The room was outdated and a bit rusted but didn’t affect my stay it simply doesn’t give you the feeling of hotel.The curtains was falling from the rods was hard to make it dark in the room at night. I wast able to increase to control the heat it was locket at a max I wanted it a little warmer because of my sinus. The washroom was ok but very old you can tell it is rusted need to be updated. There was a bit dust here and there and wear and tear on the walls and window. But those are really only details that some people that worked in the industry like myself would notice. My partner liked the room said was comfortable and clean.
We only spent a night on during holidays.I would say because of the location and because the bed seemed very clean and felt comfortable I think it is worthwhile. No fridge,No microwave,really thin pillow (didn’t bother asking for other type,maybe they had options).,

The location was excellent,the staff was friendly and welcoming. Check in was fast and efficient. The room had high ceilings made it feel very big. The room and bed was clean and comfortable. Bed had a decent size. It had a desk ,3-4 chairs,a Safe and some coffee,extra blanket, towels and some toiletries. No elevator.",1,0,1,1,0,0,1,0
7614,6.7,"I had the room out in the carpark and it was really cold. There was a gap under the door that wasn't covered by the curtains and all the cold air and noise was slipping in through there. The heater was working as per thermostat settings but since the bunk bed was closed towards the heater, and the gap was right near the bed.. it wasn't enough. Also, due to the huge interesting bunk bed, there was no space in the room.
The water from the bath tap was hot but wouldn't come hotter to make a decent bath. By the time the bath filled the water had cooled due to not being hot enough. Was okay for a shower though, but we were already really cold and needed to warm up and the bedroom wasn't helping us either.. unfortunately whoever designed this room didn't think the space properly because there was so much space down in the bathroom and nice and warm that I'd had rather slept in there than in the cold and tight bunk bed room above.,

The bedroom had an interesting design.. on 2 levels.. with a huge bunk bed as you walk in and the bathroom on the ground level, right under the bed. One can play with the light in the bathroom and makes it even more interesting. 
Hotel was close to the market and the train station too.",1,-1,0,0,-1,0,0,0
6017,9.2,"The apartment has a very nice potential, but it lacks the ""final touch"". Some things were not very clean (the floor in some rooms, or the dish washer), the switch for the bed lamp was broken and the electrical wires were visible, so in the dark you could touch them by mistake, the light in the bedroom and the light from the front door were broken and other small things like this.
I did not call the owners for these because those weren't things that bothered me that much.,

The apartment was is located in a very nice and quite place. It is very close to the important places to visit. The welcome was nice, they waited for us with the keys and gave us a short introduction. The apartment is large, with big rooms, it has all the utilities that you would need (kitchen with everything you need). 
If you do not want to cook, you have a lot of coffee shops and restaurants nearby. They do close pretty early, but if you make your program just right you have a nice selection of all types of food. There are also a lot of stores around.
The door to the building closes at around 21 o'clock, but you have keys for all the doors so you can return at any time you desire.
I would definitely stay here again.",1,1,0,1,0,1,1,0
2471,1,"BEWARE! The pictures look ok, but it is a cheap and unfinished renovation. Arrived to a construction site: electrical cables hanging out of walls; antenna cables coming in and out of windows; dead lock in apartment 3 feel apart in our hands (thank goodness we had not yet locked it!); hot water not on in apartment 3; shower drain not connected properly in apartment 2. 
Safety and security is terrible. The door from the street to the building is broken therefore people from the street and nearby night club can enter the common stairwell (and do, at all hours of the night). 
The music and crowd from the night club close by makes sleep impossible. The sensor lights within the apartment come on and off all night without reason. 
It is non-smoking accommodation; however the smoke smells from the restaurant and apartment below enter via the bathroom pipes and permeate the apartments above (particularly apartment 2). People in our group woke up feeling ill from this - we had asthmatic children in our group - even the non-asthmatics were affected by the sickly odour. 
This was our worst Booking.com experience. We all decided it was not worth compromising safety, security and health staying the second night so we checked out first thing the next morning and found alternative accommodation. 
What a disgrace that this standard of accommodation is acceptable on booking.com.",-1,-1,-1,-1,-1,0,-1,-1
22806,5.8,"Location and smell.
The property is right next door to Antwerp Tower which has a lot of work being done on it and they start work around 6am in the morning (not bank holidays and Sundays but they are working early on Saturday morning). 
On arrival, the apartment didn't have a particularly nice smell. This got worse over the stay and it was coming from the drain in the shower. There is no door between the bathroom and the bedroom so it was not that pleasant to sleep in. We bought some gel to put down the drain and aired the room but could not get rid of the smell. We reported it after our first night but it was not sorted despite being told it was being investigated.
We also lost power and after calling the property company, we were requested to go down to the basement to reset it (the fuse box was fine). The property is shared with a restaurant downstairs and luckily we met an employee as we called the lift and they very kindly sorted the power issue for us.,

Location. This property could be rated a lot higher. It has a wonderful central location right on the edge of Antwerp Old Town. We were staying in the top floor penthouse and it has fantastic views out over Antwerp skyline.However, at the moment, it's location is also it's downfall.",1,-1,-1,-1,-1,0,0,0
2824,9,"Only minor things, like that there was a motion-sensor light installed at the entrance to the room so it came on if we got up in the night (like, to use the bathroom).  There was a door between the bedroom and this entry area where the motion-sensor light was, so it was not the end of the world.  We would have LOVED it if the room had had a better table for enjoying the wonderful breakfast.  We only had the desk and its one chair, which kind of brought our breakfast enjoyment down a bit (the pandemic rules require that guests eat only in their rooms).  The room was very comfortable, there were hooks in the bathroom and the tilework was all nice and clean, so no real complaints.,

Great small hotel in a suite of very old buildings.  Unique, wonderful architecture, winding hallways and staircases that led to our gigantic family room with a view over a courtyard to fascinating rooflines and a tower!  The hotel was just off the Grand Market, so it had a great location.  There was a city parking garage nearby, which worked for us since we drove.  The staff was absolutely WONDERFUL, very welcoming and accommodating.  The beds and bedding were wonderful, the bathroom was modern and very comfortable.  The breakfast provided was wonderful.  We loved it and will absolutely stay here again.",1,1,1,1,1,1,1,0
23070,5.8,"No Breakfast in the Morning. Only available few days and breakfast is very limited. The Hotel needs a lot of maintenance and facilities should be upgraded and modernized. The room was a bit worn out and not clean. Beds need to be improved or replaced for comfortable sleeping. The lights in the room need to be brighter and there should be more lights in the room. very difficult for reading or browsing with Dim lights in the room. 
The bathrooms are old-fashioned. The shower in the bathroom was broken and no hair-dryer available. Even the Door is broken and is difficult to lock it sometimes. The TV was not working at all in my room.
The Internet was slow and it needs an upgrade so that you can connect to Wi-FI with just a password valid for all devices.
Now to connect to Wi-FI I had to use a separate Username and Password for each device and it is valid only for 2 days.
The stairways are very narrow and bad considering the safety aspect in case of fire. I had a lot of difficulty in moving my luggage to the room via the very narrow staircase.
Considering all these, I would say it is not worth for the price of 70 Euros per night..,

The Location is close to the Train and metro station. There are plenty of restaurants nearby. The hotel staff is helpful.",1,-1,-1,1,-1,-1,-1,-1
2932,8.3,"Heavy use of conditioner on a bed linens - not all people like strong smells in the bed before sleep. Pillow was too dense and high for my taste - would be great to have a selection as in the room there are extra pillows anyway. A blanket is to warm for me, but I have this issue almost everywhere - growing up behind a polar circuit doesn't help me in this case. Bed cover is that half-synthetic thing with a rubber around mattress, doesn't breath really well, but people there are very used to them, so you'll see them a lot. Room is right under the roof and it could be quite hot inside on a sunny days and small windows won't allow to move this hot air out fast. Overall it all may look small to you and you won't even notice, I believe I've just spoiled myself sleeping on fresh chill air in all-natural bedroom at home, that is why I was too shy to tell Els and Tom all that personally.,

Exceptional breakfast, nice owners, perfect location to work in Bornem. Fast WiFi (~20 Mbps) by local standards, although signal strength could be improved. Basically you stay in a quiet beautiful place with a fresh air and nice accessibility by car, and Tom and Els will do their best to make your stay perfect.",1,0,1,1,1,1,1,0
331,7,"- the fact the part of the garden we were allowed to use was not really private (it was just beside the parking lot)
- the bigger garden (the one with the view) was not open to us as guests as the robot mower was cutting the grass (we were told) -> we were surprised to see the already very short grass needed to be cut extra short 24/7
- the doors to the bathroom and bedroom didn't close (1 couldn't be closed, the other only when pushed real hard and with lots of noise) which woke our 1 yar old daughter up
- the rooms were quite chilly, even in warm weather (due to the thick walls) + due to the thick walls also quite dark
- the house isn't fit for young children: the plates and other delicate stuff were placed in an open cabinet so it was easy for our baby to grasp and break things -> we had to put everything higher so she couldn't reach all of these things & there was no high chair for us to use,

+ lots of utensils ready for use in the kitchen 
+ spacious house
+ the garden chairs we were able to use 
+ village was really quiet
+ great shower
+ tasty bottle of wine given to us by the host upon arrival 
+ warm welcome by the host",1,-1,1,1,0,1,0,-1
11055,5,"Hard Pillows, mattress protector made you sweaty. Church bell rung every half hour even through the night !  someone was smoking in another room and it stunk our room out too. Had to open the massive window/ fire escape to get some fresh air even tho it was cold outside and plugged the door seal with toilet tissue so it didnt waft in anymore. One staff member was very helpful but another had no idea...english was poor. The car park you could pay 6 euro a night for but staff member had no idea how to work the card ? then we found out you can park in the square for free between 6.30pm and 9am so didnt need to pay for the car park. Breakfast was minimal for 6 euros each. You sat eating it while people played on the slot machines.... smoking !!!! ....had to walk up 3 flights of stairs to our room no lift. Room was okay but very very basic... It had no atmosphere.... there was a pic on the wall of a man and woman .... embracing ! ? it was a bit um...... odd !,

It was warm and clean. Tv ( never turned it on tho ), shower ok not great, shower gel and soap provided. Towels ok. Bed linen ok. FREE wi Fi whoooo and it worked a treat.",0,-1,0,0,-1,-1,-1,0
8640,8.3,"Everything would have been fine if the check-in agent/staff had been more informative. The hotel had beverages in the check-in area, so after traveling for over 2 1/2 hours, a couple of us took water and crémant. We didn't ask, but as there were glasses in a bowl, we thought it was for the guests. While waiting for everyone to comedown, one of my friends took another glass of crémant. The check-in lady got really mean and angry with her saying, ""it was a welcome drink and that she'd already had a drink."" There wasn't a sign posted ANYWHERE to indicate that and further more, she never mentioned or offered it to us at check in. We asked if we could have the wifi code and in her rude manner, she pointed out that it was on the card key. After shopping we returned to the hotel and one of my friends happened to read the back of the card key holder and saw that we could get a 10% discount on shopping at the Maasmechelen Village. The check-in agent knew that we were going shopping, but fail to tell us about this great deal. I will say that the check-in agent at check out was much nicer and seemed sympathetic to our problems with her colleague and would mention it to her.,

The location and room!",1,1,0,-1,0,0,0,0
9648,6,"Carpets in general are always outdated and unhygenic, but this one was covered in unknown stains, all across the room. Reading other people's reviews I realised I was not the only one encountering this. I have never seen something like this in Holland. This is unacceptable for a (4-star) hotel. (see photo)
While walking around outside its easy to forget that you're actually in Europe; the hotel is close to a train station; at night there are a lot of drug addicts, homeless and gipsies on the streets, sleeping outside or talking to you if you walk by. They come in big numbers. If you travel by car, especially one having a ''foreign'' license plate, it is highly advised to park it in the hotel garage. This costs you €25. Group of men hang around the parked cars outside, I witnessed one urinating against one. I personally wouldn't go out alone at night as a woman or with children. Be aware of pickpockets too.,

Rooms were very quiet, unlike many others hotels in Brussels. Reception staff spoke Dutch like they're supposed to.
Overall, I've learnt that booking a hotel is always quite a gamble in Belgium, even at 4-5 star hotels, the quality standard is lower. However this one was decent enough.",0,0,-1,1,0,0,0,-1
13824,4,"This time the problem came unexpectedly,
1) Some guy could not checked-in due to his payment fail. He had received the email that his payment went wrong but room was still reserved for him. BUT NO ROOM WAS RESERVED, that really awful as the hotel had not took into consideration his own emails. 
I had the same case several days ago with my payment try was declined. I received the email: 'your payment went wrong but the room was still reserved for you'. If I didn't pay that time, I would have missed my booking as well. It would be a disaster weekend
2) The receptionist declined 'late check-out' service for my friends stayed the same hotel, saying they were overbooked. No info about late check-out was about no-possibility to add 'late check-out' option when  you are checking-in
3) Room 403 - mini-bar refrigirator is not cooling and remained hot. That made me throw away my salat. It was really unpleasant situation
Room 103 - the sink was blocked and water did not go away easily,

It was not the first time I stayed there, thus I knew what to expect.
My previous experience with the hotel went smooth and without any issues.
The room was good and matched what I saw in photoalbum. 
+ Thet provide late check-out which was necessary in my case",0,1,0,-1,-1,0,0,0
22869,5.8,"My biggest gripe was the WiFi. It doesn’t work in the rooms as advertised. When i spoke to staff they appeared to be looking in to it but really did nothing about it, instead advising us to use reception’s WiFi. There was no modem on 3rd floor and the one of 4th floor had no power so I feel that it has been the case for a while. 
One of the staff made me feel that my complaint was not warranted as WiFi was ‘free therefore I should be grateful’ and it was not my right to complain given they have an alternative. 
The bathroom screen was also broken so water ran all over bathroom floor and flooded the main room, under the bed and so on. Make sure you place towels on the floor to prevent this. 
Rooms don’t have air con so if you are staying in the peak of summer, ask for corner room or you may be sleeping with your door open which we saw a few people do. 
Overall I wouldn’t stay there again. ,

Hotel is in a fantastic location. The metro is at the front and you are 5 min walk from centre, with cafes and restaurants literally at your doorstep. Room was clean, had a great view and the one we had was quite large.",1,1,1,-1,-1,0,0,0
411,9.2,"Shared bathroom,

This B&B is clearly a labour of love. Sharon is a top-notch host, and one of the sweetest, most caring and sincere owners of a B&B we have met. The exceptionally well maintained and attention is paid to every detail for your experience.   The location, about an 8 min cycle into historical Diest is perfect if you are travelling by bike. There is also a great little grocery store a few minutes walk away if you need any provisions. Water, tea, coffee, milk (for your tea or coffee) and beer are all available for you in the kitchen and Sharon asks you to make yourself at home. There were even chocolates on the bed when we arrived in our room.  The only downside is that there is a shared bathroom, not an issue during our visit since we were the only guests that night but not something we noticed when we booked and something that we usually avoid. Sharon has gone to efforts to make this work with robes in each room for guests transiting to and from the facilities, an ‘in use or available’ sign on the door and space for storage of toiletries etc assigned for each room in the bathroom.
Breakfast was excellent with the same attention paid to detail as in all other aspects of our stay.",1,1,1,1,0,1,1,0
2008,7.5,"Some of the staff was very polite, but some of the staff was unpolite, especially when appeareantly it got busy and I wanted to check out. I asked for the corporate invoice and said that I will write the requisites, then person servicing the checkout said that I am asking too many questions at the time and he can't answer all of them, so I need to wait. Even though I was the only person he was talking to and I didn't ask any questions, I just wanted an invoice. Then he said that appearantly someone had already paid for the rooms. This probably meant that I couldn't paid for the rooms. When I said, that I paid for the rooms through booking.com, he become more polite, but still was very bothered by the fact that we need to leave 4 bags and will pick them up later on. 
Then we also tried to used the interactive service in the room and order drinks which offered 2 options to recieve the drink - ASAP or later. We have chosen ASAP, but half an hour later still without the drinks, we went to the reception and they didn't notice that we have ordered the drink. So do not use the application if you want drinks asap.,

Nice location, good breakfast, comfortable room with complimentary water.",1,1,1,-1,-1,0,0,0
17612,7.5,"Rooms too small, the pool is very cold (If you have a pool, don't you want your visitors to use it? After 20 minutes we had to leave because of the cold water).
For sure I can tell that the room was not cleaned daily, only arranged the beds and changed the towels.
Soap and Shampoo (Not separate) is located In a device near the sink and bathtub. I expect 4 star hotel to have a higher level Toiletries. This issue was not too important for us, I just mention it for the next guests.
Air condition was a little noisy when you moved it from Fan level ""1"" to ""2"".
Parking is 16 Euro per day and not under the hotel. 2 minutes walk so first you need to take your luggage and move it from the car to the lobby and, then, park your car.,

It is good hotel with very good breakfast and a indoor pool (Look also at the ""didn't like"") located at the center of Hasselt. The service is very good, reception staff helped us with any questions or requests even when we arrived late. Rooms are bit small but OK. Very quiet. Air conditioned.
Price is fair.
For 2-3 days of staying I would recommend this hotel.",1,0,-1,1,0,1,1,0
25876,7.5,"There seemed to be a lot of confusion in the dining room. The table in the restaurant they first gave us was not suitable for our dog (we did not want it in the middle of a high foot traffic area). When we relayed that, the staff said the dog was not allowed and we would have to sit in the bar. We explained that we had seen a dog earlier in the day sitting in the restaurant. We were seated in the bar and two other dogs showed up and they were seated in the bar area. The third dog showed up and they were seated in the dining room. The staff doesn't seem to know their own rules. We waited for a long period of time for our food and then told they were out of one item we ordered. So we ordered something else. A few minutes later, the original order arrived! Neither a big worry, but we would like to be treated like everyone else, whether our dog is with us or not. Many doors in the rooms needed to be fixed. You had to slam the doors shut which I am sure was annoying to other guests.,

the breakfast was very good- great selections. We ate in the restaurant one evening and the food was very good although there was much conconfusion.",0,0,0,-1,-1,1,0,0
17798,9.6,"While it’s a dog-friendly apartment, the immediate area isn’t good for walking dogs. That isn’t the owner’s fault, of course, it’s just how it is. The room was nice and had everything we needed, but the double bed didn’t have a proper frame so was on the floor. That may not be a problem for many people, but for me it was because I have very bad knees and can’t get up easily from the floor. Also, the bathroom was very nice but has a metal floor (I assume so that it’s easy to clean), which was VERY cold in the winter. However, we did mention this as a suggestion on Seb’s suggestion board so hopefully that won’t be an issue soon. ,

It was very close to the motorway, and quite close to Namur centre. We liked that they allow dogs and that they have all of the facilities you’d need (beds (one double, one single), table and chairs, kitchen area including sink, microwave and kettle) were all in one room, with a separate en-suite bathroom. It was great that we could both check in and check out late, and Seb is really friendly",1,0,1,1,1,0,0,0
5646,8.8,"No cooking oil, which is a very cheap fix but a critical one indeed.  This can be a bit of a hinderance if one's coming in late at night.  The local Butcher is open on Sundays, fortunately, and I picked up a steak, various cold cuts and Olives, Antipasto, etc.   Got a bit stuck when unable to cook due to no oil/butter. The owner/hoast brought the butter promptly but since she only speaks French (*very* little English), communication was difficult. On day 2, I used Google translate which was a lot better to communicate.   ANOTHER issue is the funky heater/Fireplace which burns pellets.  The instructions are non-existent and the explanation by the owner is in French.   What she needs to do is create ENGLISH instructions for the fireplace/heater.  Putting it on/off a few times results in heater damage (which is what happened) and the owner gave me a temporary electric heater.  That worked but was not half as charming!!,

Very nice ambience in the Chalet and good views of the surrounding forest.   Fully stocked kitchen (utensils, forks, knives, plates, etc. etc.) except that there was no cooking oil, so one was a bit stuck too cook stuff. Though the owner promptly brought butter as a substitute!",1,0,1,0,-1,0,0,0
12646,5.4,"Hotel was under renovation and was actually closed but we were not made aware of this.
We had booked breakfast but bar floor was being revarnished so bar and breakfast were not available but we were not made aware of this.  We were not charged for breakfast but were just told abruptly that breakfast was not available.
Television did not work and when we complained we were told that no televisions in the building were working.
Noisy work on the renovation went on until 10 to 11 at night.
Unusual room in that whoever was having a shower was visible to the other occupants, not so bad if just your partner but not really suitable when your daughter was in the room.
Not to do with the hotel itself but walking around in the evening was disconcerting given the number of families sleeping out on the streets between hotel and Grand Place and them arguing with each other as to who should be begging off you.
Hope the hotel will be renovated sympathetically, it just would have been good to know what state it was in at the time of our visit that should not have taken place, who was at fault? Hotel or Booking, don't know. Hotel said they told booking so would have expected a message from Booking assistant.,

Nearby parking was close and safe.
Reasonably situated.",0,-1,0,-1,-1,-1,0,-1
22889,9.2,"It was cold for me. Additional blanket is a must.  There is no such in the room, but it should be. The air condition was strange. Although working all night on Heat mode at 30 degrees, the room remained cold. They definitely need to change the air conditioning brand or type. At home for just 10 minutes I get sauna hot with 15 years old Panasonic inverter.
The water in the shower  was warm (not enough for me) , but not hot. I would've appreciated if there was a hot water so I can define how warm to be and to be able to take a hot shower when outside is 3 degrees and we spent all day long out. ,

The location is  just perfect. 5 minutes Antwerp Central Station and 15 minutes from the center (Grand place).
Late check-in, which is very handy. 
Very polite, kind and friendly staff. 
Very comfortable bed with nice pillows and good goose filling duvets which we loved. 
It was quiet and with almost no noise. I asked for  a room looking to the inner yard with no street view (when booking) so my request was fulfilled. It is perfect for a short period. Also very affordable prices. As overall is great according location, price and comfort.",1,0,1,1,-1,0,1,1
